ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
68;Curitiba tem protestos a favor de Sérgio Moro;15/05/2016;100;Estado, Governo e Democracia;6;Manifestação na Boca Maldita;Manifestação em espaço público;G1 on line;G1. Curitiba tem protestos a favor de Sérgio Moro e contra Michel Temer. G1, Curitiba, 15 maio 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/04/um­ano­apos­conflito­com­policia­professores­vao­ruas­em­curitiba.html>. Acesso em: 06 jan. 2017.;Boca Maldita;-25,432129;-49,275440;Curitiba;Centro
69;Protesto contra resoluções do STF e contra Dilma Rousseff no Centro;06/04/2016;;Estado, Governo e Democracia;6;Passeata no centro de Curitiba;Passeata;Bem Paraná;RITZ, Josianne. Repúdio ao STF. Bem Paraná, Curitiba, 07 abr. 2016. Política/Política em debate, p. 3.;Praça 19 de Dezembro, CEP 80020-260;-25,424526;-49,269334;Curitiba;Centro
70;Mulheres de Curitiba protestam contra estupro coletivo do RJ;26/05/2016;400;Segurança Pública;17;Ato na entrada do Teatro Guaíra;Manifestação em espaço público;Gazeta do Povo;NEITSCH, Joana. Mulheres de Curitiba protestam contra estupro coletivo do RJ. Gazeta do Povo, Curitiba, 27 maio 2016. Justiça e Direito. Disponível em: <http://www.gazetadopovo.com.br/vida-publica/justica-e-direito/mulheres-de-curitiba-protestam-contra-estupro-coletivo-do-rj-3l852xboqrh9wipwu2tuzlwcp>. Acesso em 06 jan. 2016. ;Teatro Guaíra - Rua XV de Novembro, 971 - Centro, Curitiba - PR, 80020-310;-25,428303;-49,265564;Curitiba;Centro
71;Moradores ameaçam botar fogo em posto de saúde;17/02/2010;50;Saúde;16;Fogo em pneus;Outros;Banda B;;Rua Herbert Trap, s/n, Guarituba;-25,464232;-49,130016;Piraquara;Guarituba
72;Médicos que atendem pelo SUS fazem protesto na Boca Maldita;25/10/2011;;Saúde;16;Distribuição de panfletos;Manifestação em espaço público;Gazeta do Povo;GERON, B. Médicos que atendem pelo SUS fazem protesto na Boca Maldita. Gazeta do Povo. Curitiba, 25 de Outubro de 2010;Rua Luiz Xavier - Centro - Curitiba - PR, 80020-020;-25,432275;-49,274543;Curitiba;Centro
73;Familiares de pacientes que morreram na UTI do Evangélico pedem justiça no caso Virgínia;02/11/2013;;Saúde;16;Protesto silencioso;Outros;Banda B;"SEQUINEL, M; CUNHA, J. Familiares de pacientes que morreram na UTI do Evangélico pedem justiça no Caso Virgínia. Banda B. Curitiba, 02 de Novembro de 2011";Rua Padre João Sotto Maior, s/n, São Francisco, Curitiba, PR - 80510-250;-25,421763;-49,275188;Curitiba;São Francisco
74;"Curitiba tem protesto contra ""importação"" de médicos";25/05/2013;400;Saúde;16;Passeata;Passeata;Gazeta do Povo;"MARCHIORI, R. Curitiba tem protesto contra ""importação"" de médicos. Gazeta do Povo, Curitiba, 25 de Maio de 2013";Praça Santos de Andrade - Centro - Curitiba;-25,429050;-49,266779;Curitiba;Centro
75;Manifestantes saem às ruas em protesto contra morte de bebê que esperava por vaga em UTI;24/05/2014;50;Saúde;16;Passeata;Passeata;Banda B;"SEQUINEL, M; HENRIQUE, B. Manifestantes saem às ruas em protesto contra morte de bebê que esperava por vaga em UTI. Banda B. Curitiba, 24 de Maio de 2014";Praça Santos de Andrade - Centro - Curitiba - PR;-25,428932;-49,266563;Curitiba;Centro
76;Protesto contra cavaletes abandonados colore a Boca Maldita em Curitiba;29/09/2012;;Espaço sonoro e visual;5;Exposição de obras em cavaletes;Manifestação em espaço público;Gazeta do Povo;JUNIOR, J. P. S. Protesto contra cavaletes abandonados colore a Boca Maldita, em Curitiba. Gazeta do Povo, Curitiba, 29 de Setembro de 2012;Rua Luiz Xavier, s/n, Centro, Curitiba - PR, 80020-020;-25,432184;-49,274225;Curitiba;Centro
77;Moradores de Colombo fecham terminal para protestar contra problemas da cidade;20/06/2013;300;Estado, Governo e Democracia;6;Fechamento do terminal;Fechamento de vias públicas;Banda B;CUNHA, J. Moradores de Colombo fecham terminal para protestar contra problemas da cidade. Banda B, Curitiba, 20 de Junho de 2013;Rua Abel Scuissiato, s/n, Colombo, PR;-25,377367;-49,184583;Colombo;Palmital
78;Manifestantes entram no saguão do Afonso Pena e ficam por meia hora sentados no chão;22/06/2013;1500;Estado, Governo e Democracia;6;Sentados no chão;Outros;SJP News;MANIFESTANTES entram no saguão do Afonso Pena e ficam por meia hora sentados no chão. Sjp News. São José dos Pinhais, p. 01-02. 22 jun. 2013.;Av. Rocha Pombo - Águas Belas, São José dos Pinhais - PR, 83010-900;-25,536266;-49,173809;São José dos Pinhais;Afonso Pena
79;Comerciante fecha rua em protesto contra a OI;20/07/2012;;Infra-estrutura de comunicação;8;Fechamento do cruzamento das vias Rua Agrimensor Carlos Hasselmann, esquina com Alberto Karas;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;"BERNARDO, Maurenn. Comerciante fecha rua em protesto contra a OI. O Popular, 2012. Disponível em: http://www.opopularpr.com.br/sem-categoria/comerciante-fecha-rua-em-protesto-contra-a-oi/
";Rua Agrimensor Carlos Hasselmann esquina com Alberto Karas;-25,580332;-49,400146;Araucária;Fazenda Velha
80;Curitiba participa de protesto nacional contra o estupro;05/06/2016;60;Segurança Pública;17;Manifestação na praça Santos Andrade;Manifestação em espaço público;Bem Paraná;BEM PARANÁ. Curitiba participa de protesto nacional contra o estupro. Jornal Bem Paraná, Curitiba, 05 jun. 2016. Paraná. Disponível em: <https://www.bemparana.com.br/noticia/447311/curitiba­participa­de­protesto­nacional­contra­o­estupro>. Acesso em: 06 jan. 2017. ;Praça Santos Andrade;-25,428661;-49,266519;Curitiba;Centro
81;MST protesta contra Michel Temer;08/06/2016;1250;Moradia;11;Acampamento na sede do Incra;Ocupação de prédios ou terrenos;G1 on line;G1. Depois de acampar no Incra, MST ocupa o prédio da Conab, em Curitiba. G1 online, Curitiba, 08 jun. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/06/depois-de-acampar-no-incra-mst-ocupa-o-predio-da-conab-em-curitiba.html>. Acesso em: 06 jan. 2016;Ao lado da Rua Martin Afonso, Rua Desembargador Motta, S/N - Mercês, Curitiba - PR, 80430-200;-25,428980;-49,286108;Curitiba;Mercês
82;Integrantes do MTST fazem marcha e são recebidos na prefeitura de Curitiba;08/06/2016;;Moradia;11;;;Parana Online - Tribuna PR;SARZI, Lucas. Integrantes do MTST fazem marcha e são recebidos na prefeitura de Curitiba. Jornal Tribuna PR, Curitiba, 08 jun. 2016. Paraná. Disponível em: <http://www.tribunapr.com.br/noticias/parana/integrantes­do­mtst­fazem­marcha­e­sao­recebidos­na­prefeitura­de­curitiba/>. Acesso em: 06 jan. 2017;Av. Cândido de Abreu, 817;-25,416917;-49,269042;Curitiba;Centro Cívico
83;MST realiza protestos contra Michel Temer;10/06/2016;1200;Estado, Governo e Democracia;6;Protesto em frente ao INCRA;Fechamento de vias públicas;G1 on line;"DIONISIO, Bibiana; JUSTI, Adriana. MST e sindicatos realizam protestos em Curitiba contra Michel Temer. Portal G1 online, Curitiba, 10 jun. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/transito/noticia/2016/06/mst­realiza­protestos­em­diferentes­pontos­de­curitiba.html>. Acesso em: 06 jan. 2017. ";Caixa Econômica Federal, Praça Carlos Gomes;-25,433066;-49,270567;Curitiba;Centro
88;Manifestação contra Michel Temer na Praça Santos Andrade;10/06/2016;1000;Trabalho e Direitos Trabalhistas;18;Manifestação na praça Santos Andrade;Manifestação em espaço público;G1 on line;G1. Grupos promovem protestos contra Michel Temer, em Curitiba e região. G1 online, Curitiba, 10 jun. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/06/grupos-promovem-protestos-contra-michel-temer-em-curitiba-e-regiao.html>. Acesso em: 02 fev. 2017.;Praça Santos Andrade;-25,428782;-49,266408;Curitiba;Centro
89;Curitiba faz vigília nas escadarias da UFPR por mortos em Orlando;13/06/2016;50;Segurança Pública;17;Manifestação nas escadarias da UFPR;Manifestação em espaço público;Bem Paraná;BEM PARANÁ. Curitiba faz vigília nas escadarias da UFPR por mortos em Orlando. Portal Bem Paraná, Curitiba, 13 jun. 2016. Paraná. Disponível em: <https://www.bemparana.com.br/noticia/448633/curitiba-faz-vigilia-nas-escadarias-da-ufpr-por-mortos-em-orlando>. Acesso em: 06 jan. 2017. ;Praça Santos Andrade;-25,428625;-49,266374;Curitiba;Centro
90;Manifestação em terminal da RMC gera tumulto entre passageiros;16/06/2016;;Transporte, trânsito e circulação;19;Impedimento de circulação dos ônibus das linhas Santa Tereza e Ana Rosa;Outros;Parana Online - Tribuna PR;TRIBUNA PR. Manifestação em terminal da RMC gera tumulto entre passageiros. Tribuna PR, Curitiba, 16 jun. 2016. Curitiba e região. Disponível em: <http://www.tribunapr.com.br/noticias/curitiba-regiao/manifestacao-em-terminal-da-rmc-gera-tumulto-entre-passageiros/>. Acesso em: 06 jan. 2016. ;Terminal Metropolitano Roça Grande, 2317, Rod. da Uva, 2129 ;-25,345795;-49,220170;Colombo;Roça Grande
93;Taxistas e motoristas do uber em clima de tensão da Câmara de Curitiba;27/06/2016;350;Transporte, trânsito e circulação;19;Câmara Municipal, Prefeitura, Justiça Federal;Passeata;Parana Online - Tribuna PR;SARZI, Lucas. Taxistas e motoristas do uber em clima de tensão da Câmara de Curitiba. Jornal Tribuna PR, Curitiba, 27 jun. 2016. Curitiba e Região. Disponível em: <http://www.tribunapr.com.br/noticias/curitiba-regiao/taxistas-e-motoristas-do-uber-em-clima-de-tensao-na-camara-de-curitiba/>. Acesso em: 06 jan. 2017.;Prefeitura Municipal de Curitiba, Av. Cândido de Abreu, 817;-25,416697;-49,269086;Curitiba;Centro Cívico
94;Taxistas protestam contra a Uber ;07/07/2016;;Transporte, trânsito e circulação;19;Manifestação iniciou na radiotáxi Faixa Vermelha e seguiu para a Justiça Federal;Carreatas ou manifestações sobre rodas;G1 on line;DIONÍSIO, Bibiana. Taxistas protestam contra a Uber e pedem apoio ao juiz Sérgio Moro. Portal G1, Curitiba, 07 jul. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/07/taxistas-protestam-contra-uber-e-pedem-apoio-ao-juiz-sergio-moro.html>. Acesso em: 06 jan. 2017.;Justiça Federal de 1° Grau do Paraná,  Av. Anita Garibaldi, 888;-25,403833;-49,257832;Curitiba;Ahú
95;Povo se revolta contra mudanças e impede saída de ônibus em Colombo;07/07/2016;;Transporte, trânsito e circulação;19;Moradores impediram saída dos automóveis da Viação Colombo;Outros;Parana Online - Tribuna PR;SARZI, Lucas. Povo se revolta contra mudanças e impede saída de ônibus em Colombo. Jornal Tribuna PR, Curitiba, 07 jul. 2016. Paraná. Disponível em: <http://www.tribunapr.com.br/noticias/parana/povo-se-revolta-contra-mudancas-e-impede-saida-de-onibus-em-colombo/>. Acesso em: 06 jan. 2017.;Viação Colombo Ltda, Rodovia da Uva, 3884;-25,330814;-49,220803;Colombo;Roça Grande
97;Marcha das Vadias em Curitiba faz protesto contra o fascismo;09/07/2016;;Gênero, Raça, Etnia e Diversidade ;7;Concentração na Praça 19 de dezembro;Manifestação em espaço público;G1 on line;G1. Marcha das Vadias em Curitiba faz protesto contra o fascismo. Portal G1, Curitiba, 09 jul. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/07/marcha-das-vadias-em-curitiba-faz-protesto-contra-o-fascismo.html>. Acesso em: 06 jan. 2017. ;Boca Maldita;-25,432073;-49,275505;Curitiba;Centro
98;Em ato nacional, movimento indígena ocupa sede da Funai em Curitiba ;13/07/2016;20;Questões Fundiárias;14;Ocupação da Funai;Ocupação de prédios ou terrenos;G1 on line;DIONÍSIO, Bibiana. Em ato nacional, movimento indígena ocupa sede da Funai em Curitiba. Portal G1, Curitiba, 13 jul. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/07/em-ato-nacional-movimento-indigena-ocupa-sede-da-funai-em-curitiba.html>. Acesso em: 06 jan. 2017. ;Funai, R. Des. Clotário Portugal, 222;-25,428419;-49,277497;Curitiba;São Francisco
99;Movimento faz ato para “celebrar” demora na regulamentação do aluguel social em Curitiba;15/07/2016;200;Moradia;11;Manifestação em frente Prefeitura;Outros;Gazeta do Povo;DENK, Eriksson. Movimento faz ato para “celebrar” demora na regulamentação do aluguel social em Curitiba. Jornal Gazeta do Povo, Curitiba, 15 jul. 2016. Vida e Cidadania. Disponível em: <http://www.gazetadopovo.com.br/vida-e-cidadania/movimento-faz-ato-para-celebrar-demora-na-regulamentacao-do-aluguel-social-em-curitiba-0o3aldhtzya4u86t4wj2mq7w5#ancora-1>. Acesso em: 06 jan. 2017. ;Prefeitura Municipal de Curitiba, Av. Cândido de Abreu, 817;-25,417134;-49,269015;Curitiba;Centro Cívico
100;Protestos marcam início da passagem da tocha olímpica por Curitiba;14/07/2016;;Estado, Governo e Democracia;6;Manifestação em frente ao Museu Oscar Niemeyer;Passeata;Gazeta do Povo;GAZETA DO POVO. Protestos marcam início da passagem da tocha olímpica por Curitiba. Jornal Gazeta do Povo, Curitiba, 14 jul. 2016. Poliesportiva. Disponível em: <http://www.gazetadopovo.com.br/esportes/poliesportiva/protestos-marcam-inicio-da-passagem-da-tocha-olimpica-por-curitiba-coj10irpgf6dk16bu98wa3eyd>. Acesso em: 06 jan. 2017. ;Museu Oscar Niemeyer, R. Mal. Hermes, 999;-25,409856;-49,266088;Curitiba;Centro Cívico
103;Moro participa de ato contra mudança na lei sobre abuso de autoridade ;28/07/2016;;Segurança Pública;17;;;G1 on line;G1. Moro participa de ato contra mudança na lei sobre abuso de autoridade. Jornal O Globo, Curitiba, 28 jul. 2016. Brasil. Disponível em: <http://oglobo.globo.com/brasil/moro-participa-de-ato-contra-mudanca-na-lei-sobre-abuso-de-autoridade-19804073>. Acesso em: 06 jan. 2017. ;Justiça Federal de 1° Grau do Paraná, Av. Anita Garibaldi, 888;-25,403682;-49,527914;Curitiba;Ahú
104;Protesto a favor do impeachment;31/07/2016;3000;Estado, Governo e Democracia;6;Concentração na Praça Santos Andrade;Manifestação em espaço público;Parana Online - Tribuna PR;PARANÁ ONLINE. Manifestantes pró e contra impeachment se reúnem em praças de Curitiba. Jornal Tribuna PR, Curitiba, 31 jul. 2016. Paraná. Disponível em: <http://www.tribunapr.com.br/noticias/parana/manifestantes-pro-e-contra-impeachment-se-reunem-em-pracas-de-curitiba/>. Acesso em: 06 jan. 2017. ;Praça Santos Andrade;-25,428564;-49,266488;Curitiba;Centro
105;Protesto contra impeachment;31/07/2016;;Estado, Governo e Democracia;6;Manifestação na Rui Barbosa e 19 de Dezembro;Manifestação em espaço público;Parana Online - Tribuna PR;PARANÁ ONLINE. Manifestantes pró e contra impeachment se reúnem em praças de Curitiba. Jornal Tribuna PR, Curitiba, 31 jul. 2016. Paraná. Disponível em: <http://www.tribunapr.com.br/noticias/parana/manifestantes-pro-e-contra-impeachment-se-reunem-em-pracas-de-curitiba/>. Acesso em: 06 jan. 2017.;Praça 19 de Dezembro;-25,424672;-49,269457;Curitiba;Centro
106;Moradores do Mercês e Vista Alegre fazem protesto pedindo segurança;07/08/2016;;Segurança Pública;17;Cruzamento das ruas Jacarezinho e Manoel Ribas;Passeata;Parana Online - Tribuna PR;BENETTA, Leilane. Moradores do Mercês e Vista Alegre fazem protesto pedindo segurança. Jornal Tribuna PR, Curitiba, 07 ago. 2016. Curitiba e Região. Disponível em: <http://www.tribunapr.com.br/noticias/curitiba-regiao/moradores-do-merces-e-vista-alegre-fazem-protesto-pedindo-mais-seguranca/>. Acesso em: 06 jan. 2017.;Cruzamento rua Jacarezinho e Manoel Ribas, Av. Manoel Ribas, 1349;-25,422077;-49,291874;Curitiba;Mercês
107;Artistas fazem ato no PR contra corrupção e em apoio a Moro;08/08/2016;;Estado, Governo e Democracia;6;Manifestação em frente à Justiça Federal do Paraná;Passeata;;;Justiça Federal de 1° Grau do Paraná, Avenida Anita Garibaldi, 888;-25,403979;-49,257759;Curitiba;Ahú
108;Protestos das Centrais Sindicais contra a precarização dos diretos trabalhistas;16/08/2016;;Trabalho e Direitos Trabalhistas;18;Ato na praça Santos Andrade;Manifestação em espaço público;Banda B;PORTAL BANDA B. Contra o golpe, entidades sindicais fazem manifestação em Curitiba. Portal Banda B, Curitiba, 16 ago. 2016. Disponível em: <http://www.bandab.com.br/jornalismo/contra-o-golpe-e-favor-dos-trabalhadores-entidades-sindicais-fazem-manifestacao-em-curitiba/>. Acesso em 06 jan. 2017. ;Praça Santos Andrade;-25,428565;-49,266391;Curitiba;Centro
109;Cerca de mil pessoas participaram de protesto;28/06/2013;1000;Estado, Governo e Democracia;6;Passeata;Passeata;O Popular - Jornal de Araucária e Região;BARBOSA, W. Cerca de mil pessoas participaram de protesto. O popular, Araucária, 01 de Maio de 2014.;R. Irmã Elizabeth Werka, 55 - Fazenda Velha, Araucária - PR, 83704-580;-25,575366;-49,400508;Araucária;Fazenda Velha
111;Manifestação contra Copa termina com dupla detida por quebrar prefeitura com vaso sanitário;03/05/2014;50;Estado, Governo e Democracia;6;Passeata;Passeata;Banda B;"JUBANSKI, E.; NASCIMENTO, A. Manifestação contra Copa termina com dupla detida por quebrar prefeitura com vaso sanitário. Banda B, Curitiba, 04 de Maio de 2014.";Rua Luiz Xavier - Centro, Curitiba - PR, 80020-020;-25,432257;-49,274592;Curitiba;Centro
112;Moradores acusam Copel de cortar luz e, em protesto, fecham sentido Sul da Linha Verde;16/04/2014;;Energia e gás;4;Fechamento do sentido Sul da linha Verde;Fechamento de vias públicas;Banda B;"Banda B. Moradores acusam Copel de cortar luz e, em protesto, fecham sentido Sul da Linha Verde. Banda B, Curitiba, 16 abr. 2014. Disponível em <http://www.bandab.com.br/jornalismo/moradores-acusam-copel-cortar-luz-protesto-fecham-sentido-sul-linha-verde/>. Acesso em 10 fev. 2017.
";Rodovia Regis Bittencourt 16464;-25,499470;-49,278631;Curitiba;Capão Raso
113;Há dois dias sem luz, moradores do Pinheirinho protestam;18/01/2012;;Energia e gás;4;Protesto na rua Julio Teodorico Guimarães;Passeata;Banda B;Banda B. Há dois dias sem luz, moradores do Pinheirinho protestam. Banda B, Curitiba, 18 jan. 2012. Disponível em <http://www.bandab.com.br/jornalismo/ha-dois-dias-sem-luz-moradores-do-pinheirinho-protestam/> Acesso em 10 fev 2017;Rua Júlio Theodorico Guimarães, Pinheirinho, Curitiba;-25,527154;-49,271219;Curitiba;Pinheirinho
114;Professores protestam e relembram 30 de agosto de 1988 em Curitiba ;30/08/2016;5500;Educação;3;Concentração na Praça Santos Andrade e percurso até o Centro Cívico;Passeata;G1 on line;DIONÍSIO, Bibiana. Professores protestam e relembram 30 de agosto de 1988 em Curitiba. G1, Curitiba, 30 ago. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/08/professores-protestam-e-relembram-30-de-agosto-de-1988-em-curitiba.html>. Acesso em: 06 jan. 2017.;Praça Santos Andrade;-25,428753;-49,266324;Curitiba;Centro
115;Protesto contra Michel Temer;31/08/2016;500;Estado, Governo e Democracia;6;Concentração na praça 19 de dezembro e percurso até Praça Santos Andrade;Passeata;Band News;BANDNEWS FM CURITIBA. Curitiba tem manifestação contra Temer após impeachment. BandNews FM Curitiba, Curitiba, 31 ago. 2016. Disponível em: <http://bandnewsfmcuritiba.com/curitiba­-tem-­manifestacao­-contra-­temer-­apos­impeachment/>. Acesso em: 06 jan. 2017. ;Praça 19 de Dezembro;-25,424687;-49,269469;Curitiba;Centro
116;Protesto a favor do impeachment;31/08/2016;500;Estado, Governo e Democracia;6;Carreata iniciou na Praça Nossa Senhora do Salete;Carreatas ou manifestações sobre rodas;G1 on line;G1. Curitiba tem protestos contra e a favor do impeachment de Dilma. G1, Curitiba, 31 ago. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/08/curitiba­-tem-­protestos-­contra-­e-­favor-­do-­impeachment-­de­dilma.html>. Acesso em: 06 jan. 2017. ;Praça Nossa Senhora do Salete;-25,414870;-49,268116;Curitiba;Centro Cívico
117;Protesto contra Michel Temer;01/09/2016;400;Estado, Governo e Democracia;6;Concentração na Boca Maldita e percurso até Boca Maldita;Passeata;Gazeta do Povo;"BORDIN, Laura B.; SALEH, Dayane. Manifestantes do “Fora Temer” depredam prédios e picham ônibus e estações-tubo em Curitiba. Gazeta do Povo, Curitiba, 01 set. 2016. Vida Pública. Disponível em: <http://www.gazetadopovo.com.br/vida-publica/manifestantes-do-fora-temer-depredam-predios-e-picham-onibus-e-estacoes-tubo-em-curitiba-29wod6ovrfixej9aqj79e7clp>. Acesso em: 15 fev. 2017.";Praça Carlos Gomes;-25,433263;-49,270582;Curitiba;Centro
118;Protesto contra Michel Temer;04/09/2016;2500;Estado, Governo e Democracia;6;Concentração na PRaça 19 de Dezembro e percurso até Boca Maldita;Passeata;Bem Paraná;"BEM PARANÁ. Manifestantes fazem ""arrastão"" de vandalismo na Vicente Machado. Veja vídeo. Bem Paraná, Curitiba, 04 set. 2016. Política. Disponível em: <https://www.bemparana.com.br/noticia/462843/manifestantes­fazem­arrastao­de­vandalismo­na­vicente­machado.­veja­video>. Acesso em: 06 jan. 2017. 
";Boca Maldita;-25,432293;-49,274670;Curitiba;Centro
120;MST acampa em frente ao INCRA contra o golpe e por reforma agrária;05/09/2016;1000;Estado, Governo e Democracia;6;Ocupação do Instituto Nacional de Colonização e Reforma Agrária (INCRA);Ocupação de prédios ou terrenos;Brasil de Fato;GHISI, Ednubia. Em Curitiba, MST acampa em frente ao INCRA contra o golpe e por reforma agrária. Jornal Brasil de Fato, Curitiba, 05 set. 2016. Geral. Disponível em: <https://www.brasildefato.com.br/2016/09/05/em-curitiba-mst-ocupa-o-incra-contra-o-golpe-e-por-reforma-agraria/>. Acesso em: 16 fev. 2017. ;Instituto Nacional de Colonização e Reforma Agrária (INCRA), R. Dr. Faivre, 1220 ;-25,433701;-49,258955;Curitiba;Centro
121;Metalúrgicos ocupam marginal da BR-277 para protestar;05/09/2016;;Trabalho e Direitos Trabalhistas;18;Concentração na Renault (SJP) e percurso até o Centro de Curitiba;Passeata;Parana Online - Tribuna PR;SARZI, Lucas. Metalúrgicos ocupam marginal da BR-277 para protestar. Jornal Tribuna PR, Curitiba, 05 set. 2016. Curitiba e Região. Disponivel em: <http://www.tribunapr.com.br/noticias/curitiba-regiao/metalurgicos-ocupam-marginal-da-br-277-para-protestar/>. Acesso em: 06 jan. 2017. ;BR-277, Próximo à Montadora Renaut, Av. Renault, 277;-25,520562;-49,111792;São José dos Pinhais;Roseira de São Sebastião
123;Manifestantes fazem ato pedindo a saída de Michel Temer, em Curitiba;06/09/2016;1000;Estado, Governo e Democracia;6;Concentração na Praça 19 de Dezembro e percurso até a Boca Maldita;Passeata;G1 on line;G1. Manifestantes fazem ato pedindo a saída de Michel Temer, em Curitiba. G1, Curitiba, 06 set. 2016. Paraná. Disponível em: <http://g1.globo.com/pr/parana/noticia/2016/09/manifestantes-fazem-ato-pedindo-saida-de-michel-temer-em-curitiba.html>. Acesso em: 06 jan. 2017. ;Praça 19 de Dezembro;-25,424448;-49,269436;Curitiba;Centro
124;Protesto contra Temer;07/09/2016;200;Estado, Governo e Democracia;6;Concentração na Praça 19 de Dezembro e percurso até Boca Maldita;Passeata;Bem Paraná;BEM PARANÁ. Curitiba faz “quina” contra Temer e marca protesto contra Cunha. Bem Paraná, Curitiba, 07 set. 2016. Paraná. Disponível em: <https://www.bemparana.com.br/noticia/463302/curitiba-faz-quina-contra-temer-e-marca-protesto-contra-cunha>. Acesso em: 06 jan. 2017. ;Boca Maldita;-25,432260;-49,274753;Curitiba;Centro
126;Curitiba tem “fora” Temer e Cunha;12/09/2016;200;Estado, Governo e Democracia;6;Passeata;Passeata;Bem Paraná;BEM PARANÁ. Protesto contra Cunha reúne manifestantes em Curitiba. Bem Paraná, Curitiba, 12 set. 2016. Política. Disponível em: <https://www.bemparana.com.br/noticia/463977/protesto-contra-cunha-reune-manifestantes-em-curitiba>. Acesso em: 06 jan. 2017.;Boca Maldita;-25,432375;-49,274943;Curitiba;Centro
128;Manifestantes fazem ato contra o governo Temer em Curitiba;22/09/2016;500;Estado, Governo e Democracia;6;Origem na Praça Santos Andrade e percurso até Boca Maldita;Passeata;Bem Paraná;BEM PARANÁ. Manifestantes fazem ato contra o governo Temer em Curitiba. Bem Paraná, Curitiba, 22 set. 2016. Política. Disponível em: <http://www.bemparana.com.br/noticia/465848/manifestantes-fazem-ato-contra-o-governo-temer-em-curitiba>. Acesso em 06 jan. 2017. ;Praça Santos Andrade;-25,428560;-49,266480;Curitiba;Centro
