ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
129;Moradores fazem ato em frente à US abandonada no bairro Santa Cândida, em Curitiba ;24/09/2016;;Saúde;16;Fechamento de rua e queima de pneus;Fechamento de vias públicas;Brasil de Fato;CARRANO, Pedro. Moradores fazem ato em frente à US abandonada no bairro Santa Cândida, em Curitiba. Jornal Brasil de Fato, Curitiba, 26 set. 2016. Geral. Disponível em: <https://www.brasildefato.com.br/2016/09/26/moradores-fazem-ato-em-frente-a-us-abandonada-no-bairro-santa-candida-em-curitiba/>. Acesso em: 16 fev. 2017. ;Unidade de Saúde Jardim Aliança, Av. Paraná, 5050 ;-25,375449;-49,223760;Curitiba;Santa Cândida
130;Protesto em Curitiba aponta irregularidades na URBS ;28/09/2016;;Trabalho e Direitos Trabalhistas;18;Ato em frente à prefeitura;Manifestação em espaço público;Brasil de Fato; RAMIRES, Manolo. Protesto em Curitiba aponta irregularidades na URBS. Brasil de Fato. Curitiba, p. 01-02. 28 set. 2016. Disponível em: <https://www.brasildefato.com.br/2016/09/28/protesto-em-curitiba-aponta-irregularidades-na-urbs/>. Acesso em: 28 ago. 2017.;Prefeitura de Curitiba -Centro Cívico - Av. Cândido de Abreu, 817 - Centro, Curitiba - PR, 80530-908;-25,417120;-49,269124;Curitiba;Centro
131;Protesto contra a mudanc?a do CRAS;09/08/2013;;Vizinhança;20;Reunião em frente ao CRAS;Manifestação em espaço público;O Popular - Jornal de Araucária e Região;"BERNARDO, Mauren. Protesto contra a mudança do CRAS. O Popular, Araucária - 09 de Agosto de 2013. Disponível em: http://www.opopularpr.com.br/noticias/sem-categoria/protesto-contra-a-mudanca-do-cras/
";R. Alberto Karas, 918;-25,585274;-49,406547;Araucária;São Sebastião
132;Alunos fazem protesto em frente a? Prefeitura de Araucária;04/02/2007;;Educação;3;Marcha e protesto em frente à Prefeitura de Araucária;Passeata;O Popular - Jornal de Araucária e Região;Alunos fazem protesto em frente a? Prefeitura. O Popular, Araucária, 04 de fevereiro de 2007. Disponível em: http://www.opopularpr.com.br/noticias/sem-categoria/alunos-fazem-protesto-em-frente-a-prefeitura/;https://goo.gl/maps/n3iNcng76KR2;-25,590569;-49,400420;Araucária;Centro
134;Nem uma a menos;07/01/2017;;Gênero, Raça, Etnia e Diversidade ;7;Passeata na rua XV de Novembro;Passeata;Banda B;BANDA B. Primeira Marcha das Vadias do ano se reúne em Curitiba para combater violência contra mulheres. Banda B, Curitiba, 07 jan. 2017. Disponível em <http://www.bandab.com.br/jornalismo/para-combater-violencia-contra-mulheres-primeira-marcha-das-vadias-do-ano-se-reune-em-curitiba/>. Acesso em 10 fev. 2017. ;Boca Maldita - Rua Luiz Xavier, 34-68 - Centro, Curitiba - PR, 80020-020;-25,432489;-49,275025;Curitiba;Centro
136;Motoristas e cobradores de duas empresas param atividades em Curitiba;10/01/2017;2000;Transporte, trânsito e circulação;19;Greve;Paralisação e greve;Banda B;BANDA B. Motoristas e cobradores de duas empresas param atividades em Curitiba? negociações continuam. Banda B, Curitiba, 10 jan. 2017. Disponível em <http://www.bandab.com.br/jornalismo/sem-salario-motoristas-e-cobradores-da-grande-curitiba-realizam-assembleia-nesta-terca/> Acesso em 10 fev. 2017.;BR 116, Km100, nº 12.290 (Linha Verde), Parolin, Curitiba;-25,469014;-49,254291;Curitiba;Parolin
137;Guardas de SJP fazem paralisação e denunciam perseguição de comandantes;17/01/2017;;Segurança Pública;17;Manifestação em frente à Secretaria Municipal de Segurança Pública;Manifestação em espaço público;Parana Online - Tribuna PR;SARZI, Lucas. Guardas de SJP fazem paralisação e denunciam perseguição de comandantes. Tribuna, Curitiba, 17 jan. 2017. Disponível em <http://www.tribunapr.com.br/noticias/seguranca/guardas-de-sjp-cruzam-os-bracos-e-denunciam-perseguicao-de-comandantes/>. Acesso em 10 fev. 2017;R. Passos de Oliveira, 1101, Centro, São José dos Pinhais;-25,534402;-49,207095;São José dos Pinhais;Centro
138;Funcionários do Evangélico fazem greve para reivindicar 13º e benefícios atrasados;18/01/2017;;Saúde;16;Greve dos funcionários do Hospital Evangélico;Paralisação e greve;Banda B;"Banda B. Em greve desde segunda, funcionários do Evangélico se reúnem para
reivindicar 13º e benefícios atrasados. Banda B, Curitiba, 18 jan 2017. Disponível em http://www.bandab.com.br/jornalismo/em-greve-desde-segunda-funcionarios-do-evangelico-se-reunem-para-reivindicar-13o-e-beneficios-atrasados/. Acesso em 14 fev. 2017";Alameda Augusto Stellfeld 1908, Bigorrilho, Curitiba;-25,434773;-49,291975;Curitiba;Champagnat
139;Com assembleias, Sindimoc inicia campanha salarial 2017: “Motoristas e cobradores estão preocupados”;18/01/2017;;Transporte, trânsito e circulação;19;Assembleia na Praça Rui Barbosa;Manifestação em espaço público;Banda B;"Banda B. Com assembleias, Sindimoc inicia campanha salarial 2017: “Motoristas e
cobradores estão preocupados”. Banda B, Curitiba, 18 jan 2017. Disponível em http://www.bandab.com.br/jornalismo/com-assembleia-sindimoc-inicia-campanha-salarial-2017-motoristas-e-cobradores-estao-preocupados/. Acesso em 14 fev 2017.";Praça Rui Barbosa, Centro, Curitiba;-25,436045;-49,273422;Curitiba;Centro
141;Protesto de motoristas e cobradores afeta 45 linhas da Grande Curitiba;23/01/2017;1000;Trabalho e Direitos Trabalhistas;18;Paralisação e Greve;Paralisação e greve;Parana Online - Tribuna PR;DEREVECKI, Raquel. Protesto de motoristas e cobradores afeta 45 linhas da Grande Curitiba. Tribuna, Curitiba, 22 jan. 2017. Disponível em http://www.tribunapr.com.br/noticias/curitiba-regiao/motoristas-e-cobradores-da-ccd-e-tamandare-filial-realizam-novo-protesto/. Acesso em 15 fev. 2017.;BR 116, Km100, nº 12.290 (Linha Verde), Parolin;-25,468750;-49,254060;Curitiba;Parolin
142;Contra medidas do governo, professores ocupam sede da Secretaria de Educação em Curitiba;26/01/2017;200;Educação;3;Ocupação da Seed;Ocupação de prédios ou terrenos;Banda B;Banda B. Contra medidas do governo, professores ocupam sede da Secretaria de Educação em Curitiba. Banda B, Curitiba, 26 jan 2017. Disponível em http://www.bandab.com.br/jornalismo/contra-medidas-do-governo-professores-ocupam-sede-da-secretaria-de-educacao-em-curitiba/. Acesso em 14 fev 2017;Av. Água Verde 2140, Água Verde, Curitiba;-25,454049;-49,292715;Curitiba;Água Verde
143;Curitibanos se organizam e limpam parque ‘esquecido’;29/01/2017;;Parques, jardins e florestas;13;Mutirão de limpeza;Manifestação em espaço público;Banda B;Banda B. Curitibanos se organizam e limpam parque ‘esquecido’? “Ou fazíamos algo ou ficaria um nojo’. Banda B, Curitiba, 31 jan 2017. Disponível em http://www.bandab.com.br/jornalismo/curitibanos-se-organizam-e-limpam-parque-esquecido-ou-faziamos-algo-ou-ficaria-um-nojo/. Acesso em 15 fev 2017.;Rua Ângelo Marqueto 2054, Augusta, Curitiba;-25,475527;-49,375510;Curitiba;Augusta
144;Servidores públicos protestam contra falta de pagamento de reajuste salarial;01/02/2017;200;Trabalho e Direitos Trabalhistas;18;Manifestação em frente a Alep;Manifestação em espaço público;Brasil de Fato;Brasil de Fato. Servidores protestam contra calote e são proibidos de entrar na Alep. Brasil de Fato, Curitiba, 01 fev 2017. Disponível em https://www.brasildefato.com.br/2017/02/01/servidores-protestam-contra-calote-e-sao-proibidos-de-entrar-na-assembleia/. Acesso em 10 abr 2017;Praça Nossa Senhora do Salete;-25,414704;-49,268203;Curitiba;Centro Cívico
145;Amigos de copeira assassinada por policial civil protestam por justiça;02/02/2017;;Segurança Pública;17;Manifestação em frente ao Tribunal do Júri de Curitiba;Manifestação em espaço público;Banda B;"BANDA B. Em manifestação, chefe de copeira morta por investigadora diz que ela
era uma luz para pacientes que lutavam pela vida. Banda B, Curitiba, 02 fev. 2017. Disponível em http://www.bandab.com.br/jornalismo/em-manifestacao-chefe-de-copeira-morta-por-investigadora-diz-que-ela-era-uma-luz-para-pacientes-que-lutam-pela-vida/. Acesso em 17 fev 2017";R. Ernâni Santiago de Oliveira 268, Centro Cívico, Curitiba;-25,416329;-49,269273;Curitiba;Centro Cívico
146;Dia Internacional das Mulheres - 8M;08/03/2017;5000;Gênero, Raça, Etnia e Diversidade ;7;Passeata com carro de som;Passeata;Gazeta do Povo;REDAÇÃO. Dia Internacional da Mulher em Curitiba é marcado por protestos. Gazeta da Povo. Curitiba. 08 mar. 2017. Disponível em: <http://www.gazetadopovo.com.br/vida-e-cidadania/dia-internacional-da-mulher-em-curitiba-e-marcado-por-protestos-6iift37avx1s3g85dwgyisdsd>. Acesso em: 26 ago. 2017.;Praça Santos Andrade - Centro Curitiba - PR;-25,428797;-49,266306;Curitiba;Centro
147;Greve Geral 15/03;15/03/2017;40000;Trabalho e Direitos Trabalhistas;18;Paralisação;Paralisação e greve;Bem Paraná;BEM PARANÁ. Dia de greve geral reúne categorias contra reforma. Bem Paraná, 15 de março de 2017. Economia, p. 6.;Praça Tiradentes - Centro Curitiba - PR;-25,429794;-49,272204;Curitiba;Centro
149;Protesto contra a terceirização no Centro da Cidade;31/03/2017;2000;Trabalho e Direitos Trabalhistas;18;Reunião em praça pública na Boca Maldita;Manifestação em espaço público;Bem Paraná;BEM PARANÁ. Curitibanos protestam. Bem Paraná, 03 de abril de 2017. Política, p. 3.;Boca Maldita - Rua Luiz Xavier, 34-68 - Centro, Curitiba - PR, 80020-020;-25,432332;-49,274595;Curitiba;Centro
150;Ato no Barigui contra reforma da Previdência;09/04/2017;200;Trabalho e Direitos Trabalhistas;18;Caminhada no Parque Barigui;Passeata;Banda B;"BANDA B. Em novo protesto contra a Reforma da Previdência, trabalhadores fazem
‘caminhada’ no Parque Barigui. Banda B, Curitiba, 09 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/em-novo-protesto-contra-a-reforma-da-previdencia-trabalhadores-fazem-caminhada-no-parque-barigui/>. Acesso em 20 abr. 2017.";Parque Barigui;-25,429258;-49,314999;Curitiba;Santo Inácio
151;MST faz manifestação em Curitiba;17/04/2017;800;Questões Fundiárias;14;Manifestação em frente à sede do Incra;Manifestação em espaço público;Bem Paraná;BEM PARANÁ. MST faz manifestação em Curitiba. Bem Paraná, 18 de abril de 2017. Cidades, p. 7.;Rua Dr. Faivre, 1210;-25,433595;-49,259023;Curitiba;Centro
153;Sem salário há dois meses, equipe de recicladores de Curitiba protesta e fala em descaso;07/04/2017;;Trabalho e Direitos Trabalhistas;18;Manifestação em frente à sede na rua Eduardo Sprada, no bairro Campo Comprido, em Curitiba.;Manifestação em espaço público;Banda B;"BANDA B. Sem salário há dois meses, equipe de recicladores de Curitiba protesta e
fala em descaso. Banda B, Curitiba, 07 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/sem-salario-ha-dois-meses-funcionarios-da-fas-protestam-no-campo-comprido/>. Acesso em 20 abr. 2017.";Rua Eduardo Sprada 4520, Campo Comprido, Curitiba;-25,446771;-49,348528;Curitiba;Campo Comprido
154;Motoristas do Uber protestam e pressionam Greca por regulamentação;11/04/2017;552;Legislação urbana;9;Passeata motorizada do Parque Barigui até o Museu Oscar Miemeyer;Passeata;Banda B;BANDA B.Motoristas do Uber protestam e pressionam Greca por regulamentação. Banda B, Curitiba, 11 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/para-pedir-resposta-de-greca-sobre-regulamentacao-motoristas-do-uber-protestam-em-curitiba/>. Acesso em 20 abr. 2017.;Parque Barigui;-25,429002;-49,315003;Curitiba;Santo Inácio
157;“Nosso parque virou depósito de lixo”, desabafa moradora de bairro deixado de lado;18/04/2017;;Parques, jardins e florestas;13;Reclamação enviada à Banda B;Denúncia pública via meio de comunicação de massa;Banda B;"BANDA B. “Nosso parque virou depósito de lixo”, desabafa moradora de bairro
deixado de lado em ‘cartão postal’. Banda B, Curitiba, 18 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/nosso-parque-virou-deposito-de-lixo-desabafa-moradora-de-bairro-deixado-de-lado-em-cartao-postal/>. Acesso em 20 abr. 2017.";Parque Cambui - R. Carlos Klemtz s/n, Fazendinha, Curitiba;-25,479143;-49,329150;Curitiba;Fazendinha
158;“O Greca diz a mesma coisa que o Fruet dizia”, reclama síndica que pede iluminação há quatro anos;18/04/2017;;Energia e gás;4;Reclamação enviada à Banda B;Denúncia pública via meio de comunicação de massa;Banda B;"BANDA B. O Greca diz a mesma coisa que o Fruet dizia”, reclama síndica que
pede iluminação decente há quatro anos. Banda B, Curitiba, 18 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/o-greca-diz-a-mesma-coisa-que-o-fruet-dizia-reclama-sindica-que-pede-iluminacao-decente-ha-quatro-anos/>. Acesso em 20 abr. 2017.";Rua Alexandro Glenski 757, Ganchinho, Curitiba;-25,563024;-49,254048;Curitiba;Ganchinho
159;Família de motociclista morto no trânsito protesta e vídeo desmente versão de motorista;18/04/2017;;Transporte, trânsito e circulação;19;Manifestação no local do acidente;Manifestação em espaço público;Banda B;"BANDA B. Família de motociclista morto no trânsito protesta e vídeo desmente
versão de motorista: “Não foi acidente”. Banda B, Curitiba, 18 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/familia-de-motociclista-morto-no-transito-protesta-e-video-desmente-versao-de-motorista-nao-foi-acidente/>. Acesso em 20 abr. 2017.";Rua João Golin 2, Butiatuvinha, Curitiba;-25,391488;-49,345060;Curitiba;Butiatuvinha
161;Diversas categorias aderem à Greve Geral do dia 28 de abril ;28/04/2017;;Trabalho e Direitos Trabalhistas;18;Passeata da Praça Nossa Senhora de Salete até a Praça Tiradentes;Passeata;Banda B;"BANDA B. Motoristas e cobradores decidem aderir à greve geral e Curitiba pode não ter ônibus na sexta; saiba quem vai parar. Banda B, Curitiba, 25 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/motoristas-e-cobradores-decidem-aderir-a-greve-geral-e-curitiba-pode-nao-ter-onibus-na-sexta/>. Acesso em 27 abr. 2017.";Praça Nossa Senhora de Salete, Centro Cívico, Curitiba;-25,414951;-49,268069;Curitiba;Centro Cívico
162;Trabalhadores dos Correios entram em greve em Curitiba;27/04/2017;;Trabalho e Direitos Trabalhistas;18;Greve ;Paralisação e greve;Banda B;"BANDA B. Trabalhadores dos Correios entram em greve em Curitiba e cartas não
devem chegar nos próximos dias. Banda B, Curitiba, 27 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/trabalhadores-dos-correios-entram-em-greve-em-curitiba-e-cartas-nao-devem-chegar-nos-proximos-dias/>. Acesso em 27 abr. 2017.";Rua João Negrão 1251, Centro, Curitiba;-25,439649;-49,261967;Curitiba;Centro
163;Prestes a se mudar, casal gay sofre ataque homofóbico no Água Verde;13/04/2017;;Gênero, Raça, Etnia e Diversidade ;7;Distribuição de panfletos no bairro Água Verde;Manifestação em espaço público;Banda B;BANDA B. Prestes a se mudar, casal gay sofre ataque homofóbico no Água Verde: “Violência que mexe com a dignidade”. Banda B, Curitiba, 13 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/prestes-a-se-mudar-casal-gay-sofre-ataque-homofobico-no-agua-verde-violencia-que-mexe-com-a-dignidade/>. Acesso em 20 abr. 2017.;Praça Elias Abdo Bittar, Água Verde, Curitiba;-25,461307;-49,279823;Curitiba;Centro
164;Amigos de casal vítima de homofobia realizam protesto em Curitiba;15/04/2017;100;Gênero, Raça, Etnia e Diversidade ;7;Manifestação na Praça Elias Abdo Bittar;Manifestação em espaço público;G1 on line;G1 PR. Amigos de casal vítima de homofobia realizam protesto em Curitiba. Banda B, Curitiba, 15 abr. 2017. Disponível em <http://g1.globo.com/pr/parana/noticia/amigos-de-casal-vitima-de-homofobia-realizam-protesto-em-curitiba.ghtml>. Acesso em 20 abr. 2017.;Praça Elias Abdo Bittar, Rua Castro s/n, Água Verde, Curitiba;-25,461449;-49,280042;Curitiba;Água Verde
165;Servidores municipais fazem protesto em frente à prefeitura contra ‘pacotaço’ de Greca;28/04/2017;;Trabalho e Direitos Trabalhistas;18;Manifestação em frente à Prefeitura de Curitiba;Manifestação em espaço público;Banda B;BANDA B. Servidores municipais fazem protesto em frente à prefeitura contra ‘pacotaço’ de Greca. Banda B, Curitiba, 28 abr. 2017. Disponível em <http://www.bandab.com.br/jornalismo/servidores-municipais-fazem-protesto-em-frente-a-prefeitura-contra-pacotaco-de-greca/>. Acesso em 28 abr. 2017.;Avenida Cândido de Abreu 817, Centro Cívico, Curitiba;-25,417175;-49,268881;Curitiba;Centro Cívico
166;Inconformados com proposta, trabalhadores da Renault decidem entrar em greve na RMC;03/05/2017;6000;Trabalho e Direitos Trabalhistas;18;Greve;Paralisação e greve;Banda B;BANDA B. Inconformados com proposta, trabalhadores da Renault decidem entrar em greve na RMC. Banda B, Curitiba, 03 mai. 2017. Disponível em <http://www.bandab.com.br/jornalismo/inconformados-com-proposta-trabalhadores-da-renault-decidem-entrar-em-greve-na-rmc/>. Acesso em 05 mai. 2017.;Via Frontal Renault, Roseira, São José dos Pinhais;-25,517703;-49,114635;São José dos Pinhais;Roseira de São Sebastião
167;Vigília contra a LGBTFOBIA;17/05/2017;100;Gênero, Raça, Etnia e Diversidade ;7;Manifestação;Manifestação em espaço público;Brasil de Fato;"BRASIL DE FATO. Curitiba recebe Marcha pela Diversidade no dia 21. Brasil de Fato, Curitiba, 18 mai. 2017. Disponível em <https://www.brasildefato.com.br/2017/05/18/curitiba-recebe-marcha-pela-diversidade-no-dia-21/>. Acesso em 29 mai. 2017.
";Praça Santos Andrade, Curitiba;-25,428648;-49,266121;Curitiba;Centro
168;Marcha da Maconha 2017;06/05/2017;3000;Segurança Pública;17;Marcha;Passeata;Facebook;"Hoje!! Marcha Da Maconha Curitiba 2017 - O Sinal Tá Verde!. Disponível em:
<https://www.facebook.com/events/137146773488858/> Acesso em 29 mai.2017.";ALEP - Assembleia Legislativa do Paraná, Praça Nossa Senhora do Salete, s/n ;-25,413910;-49,266503;Curitiba;Centro Cívico
170;Dia Nacional de Luta dos Catadores de Materiais Recicláveis 2017;07/06/2017;;Lixo e resíduos;10;Marcha da Santos de Andrade até a Boca Maldita;Passeata;Brasil de Fato;"GHISI, Ednúbia; SCHRAMM, Franciele Petry. Catadores de Curitiba se mobilizam em Dia Nacional de Lutas. Catadores de Curitiba Se Mobilizam em Dia Nacional de Lutas. Curitiba, 07 jun. 2017. ";Praça Santos Andrade - Centro Curitiba - PR;-25,428610;-49,266037;Curitiba;Centro
171;Slam Contrataque 3ª edição;24/06/2017;;Outros;12;Batalha de poesias ;Manifestação em espaço público;Brasil de Fato;BRASIL DE FATO (Brasil). Agenda Cultural: Slam Contrataque faz ecoar a poesia de protesto em Curitiba. Brasil de Fato. Curitiba, p. 1-2. 23 jun. 2017. Disponível em: <https://www.brasildefato.com.br/2017/06/23/agenda-cultural-salm-contrataque-faz-ecoar-a-poesia-de-protesto-em-Curitiba/>. Acesso em: 23 jun. 2017.;Cavalo Babão - Rua Kellers - São Francisco, Curitiba - PR;-25,427522;-49,273819;Curitiba;São Francisco
172;Estudantes protestam por mais segurança após registro de estupro dentro da UP;09/05/2017;600;Segurança Pública;17;Manifestação com faixas dentro da Universidade Positivo;Manifestação em Espaço Privado;Bem Paraná;ESTUDANTES marcam protesto após caso de estupro em universidade. Bem Paraná. Curitiba. 8 maio 2017. Disponível em: <http://www.bemparana.com.br/noticia/501748/estudantes-marcam-protesto-apos-denuncia-de-estupro-em-universidade-de-curitiba>. Acesso em: 13 jul. 2017.;R. Prof. Pedro Viriato Parigot de Souza, 5300 - Campo Comprido, Curitiba - PR;-25,445691;-49,355836;Curitiba;Campo Comprido
173;Marcha pela Diversidade de Curitiba 2017;25/06/2017;1000;Gênero, Raça, Etnia e Diversidade ;7;Marcha da praça Santos Andrade até Boca Maldita;Passeata;CBN;CURITIBA recebe neste domingo a Marcha da Diversidade: Será realizada na tarde deste domingo (25) a Marcha da Diversidade. A concentração é as 13h30 na praça Santos Andrade e a saída está prevista para as 14 hrs.. Será realizada na tarde deste domingo (25) a Marcha da Diversidade. A concentração é as 13h30 na praça Santos Andrade e a saída está prevista para as 14 hrs.. Cbn. Curitiba, 25 jun. 2017. p. 1-1. Disponível em: <https://cbncuritiba.com/2017/06/25/curitiba-recebe-neste-domingo-marcha-da-diversidade/>. Acesso em: 25 jun. 2017.;Boca Maldita;-25,432237;-49,274631;Curitiba;Centro
174;Carreata Taxistas;23/05/2017;500;Transporte, trânsito e circulação;19;Carreata e buzinaço nas redondezas da Prefeitura;Carreatas ou manifestações sobre rodas;Bem Paraná;OGATA, Ernani. Taxistas fazem carreata no Centro Cívico. Bem Paraná. Curitiba, p. 1-2. 23 maio 2017. Disponível em: <http://www.bemparana.com.br/noticia/504966/taxistas-fazem-carreata-no-centro-civico>. Acesso em: 13 jul. 2017.;Av. Pres. Kennedy, 1863 - Água Verde, Curitiba;-25,461545;-49,274223;Curitiba;Centro Cívico
175;Manifestação em Curitiba por praça no Alto da Glória;29/09/2012;100;Parques, jardins e florestas;13;Bicicletada saindo da Reitoria da UFPR até a Praça;Passeata;Gazeta do Povo;SIMÕES, André.Moradores decoram praça e preparam protestos no Alto da Glória. Gazeta do Povo, Curitiba, 28 set 2012. Disponível em http://www.gazetadopovo.com.br/vida-e-cidadania/moradores-decoram-praca-e-preparam-protestos-no-alto-da-gloria-3xhx399xbqm2is4e2ybwtcocu. Acesso em 22 ago 2017;Rua Doutor Goulin 516, Alto da Glória, Curitiba.;-25,418139;-49,255640;Curitiba;Alto da Glória
176;A Praça do Japão e o contorno da discórdia;28/12/2012;2300;Parques, jardins e florestas;13;Abaixo assinado;Abaixo-assinado, cartas ou solicitações;Gazeta do Povo;BARAN, Katna. A Praça do Japão e o contorno da discórdia. Gazeta do Povo, Curitiba, 28 dez 2012. Disponível em http://www.gazetadopovo.com.br/vida-e-cidadania/a-praca-do-japao-e-o-contorno-da-discordia-0mqgbgv64sxiiliclrdogutzi. Acesso em 22 ago 2017.;Praça do Japão, Água Verde, Curitiba;-25,446103;-49,287329;Curitiba;Água Verde
177;Moradores que tiveram casas alagadas interditam BR-476 em protesto;23/04/2010;;Água, esgoto e drenagem;2;Fechamento da BR 476;Fechamento de vias públicas;Banda B;BANDA B. Moradores-que-tiveram-as-casas-alagadas-interditam-br476-em-protesto. Banda B, Curitiba, 23 abr 2010. Disponível em http://www.bandab.com.br/geral/moradores-que-tiveram-as-casas-alagadas-interditam-br476-em-protesto/. Acesso em 22 ago 2017. ;Estrada da Ribeira 3001, Colombo;-25,364406;-49,186112;Colombo;Maracanã
178;Moradores da Vila Liberdade fecham BR-116 em protesto contra obras paradas;26/04/2010;;Água, esgoto e drenagem;2;Fechamento da BR116;Fechamento de vias públicas;Banda B;BANDA B. Moradores da Vila Liberdade fecham BR116 em protesto contra obras paradas. Banda B, Curitiba, 26 abr 2010. Disponível em http://www.bandab.com.br/jornalismo/moradores-da-vila-liberdade-fecham-br-116-em-protesto-contra-obras-paradas/. Acesso em 22 ago 2017.;R Alfredo Puppi 54, Palmital, Colombo;-25,382221;-49,169142;Colombo;Palmital
179;Moradores protestam contra obra inacabada que deixa ruas alagadas e muito barro;04/08/2010;30;Água, esgoto e drenagem;2;Manifestação em espaço público no Guarituba;Manifestação em espaço público;Parana Online - Tribuna PR;TRIBUNA. Moradores protestam contra obra inacabada que deixa ruas alagadas e muito barro. Tribuna Paraná, Curitiba, 04 ago 2010. Disponível em http://www.tribunapr.com.br/noticias/parana/moradores-protestam-contra-obra-inacabada-que-deixa-ruas-alagadas-e-muito-barro/. Acesso em 22 ago 2017 ;Rua das Tulipas 603, Guarituba, Piraquara;-25,455089;-49,131608;Piraquara;Guarituba
180;Moradores da Vila Leonice invadem terreno da prefeitura e pedem melhorias no bairro;29/01/2011;;Água, esgoto e drenagem;2;Invasão de terreno da Prefeitura de Curitiba localizado na Rua Ovídio Garcez;Ocupação de prédios ou terrenos;Banda B;BANDA B. Moradores do Barreirinha invadem terreno da prefeitura e pedem melhorias no bairro. Banda B, Curitiba, 26 abr 2010. Disponível em http://www.bandab.com.br/jornalismo/moradores-do-barreirinha-invadem-terreno-da-prefeitura-e-pedem-melhorias-no-bairro/. Acesso em 22 ago 2017 ;Rua Ovídio Garcês 473, Cachoeira, Curitiba;-25,350802;-49,259358;Curitiba;Cachoeira
