ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
181;Moradores do Novo Mundo fazem protesto depois de nova enchente;01/02/2011;;Água, esgoto e drenagem;2;Bloqueio de várias ruas no bairro Novo Mundo.;Fechamento de vias públicas;Banda B;BANDA B.Moradores do Novo Mundo fazem protesto depois de nova enchente. Banda B, Curitiba, 01 fev 2011. Disponível em http://www.bandab.com.br/jornalismo/moradores-do-novo-mundo-fazem-protesto-depois-de-nova-enchente/. Acesso em 22 ago 2017 ;Rua Baldur Magnus Grubba  2443, Novo Mundo, Curitiba;-25,483473;-49,313305;Curitiba;Novo Mundo
183;Defensoria Pública representará os interesses da Vila Joanita em relação à enchentes;13/06/2014;;Água, esgoto e drenagem;2;Denúncia com apoio da defensoria pública;Denúncia pública via Ministério Público;Defensoria Pública do Estado do Paraná;DP - PR. Visita expõe problemas de moradores com enchentes em Curitiba. Jusbrasil, Curitiba, 03 julho 2014. Disponível em: <https://dp-pr.jusbrasil.com.br/noticias/125665492/visita-expoe-problemas-de-moradores-com-enchentes-em-curitiba> acesso em: 23 ago 2017.;Travessa Brasílio de Lara 73, Tarumã, Curitiba;-25,428480;-49,206273;Curitiba;Tarumã
184;Moradores fecham a Rodovia dos Minérios em protesto contra alagamentos;21/02/2011;200;Água, esgoto e drenagem;2;Bloqueio da Rodovia dos Minérios, queima de móveis e pneus;Fechamento de vias públicas;Banda B;BANDA B. Moradores de Colombo fecham a BR-116 para protestar contra os alagamentos. Banda B, Curitiba, 19 fev 2011. Disponível em http://www.bandab.com.br/jornalismo/moradores-de-colombo-fecham-a-br-116-para-protestar-contra-os-alagamentos/. Acesso em 22 ago 2017 ;Rodovia dos Minérios 1677, Bonfim, Almirante Tamandaré;-25,208724;-49,311404;Almirante Tamandaré;Bonfim
185;Moradores perdem tudo na chuva e fecham Contorno Sul para protestar;07/02/2014;100;Água, esgoto e drenagem;2;Bloqueio com queima de pneus no Contorno Sul;Fechamento de vias públicas;Banda B;BANDA B. Moradores perdem tudo na chuva e fecham Contorno Sul para protestar. Banda B, Curitiba, 07 jun 2014. Disponível em http://www.bandab.com.br/jornalismo/moradores-perdem-tudo-na-chuva-e-fecham-contorno-sul-para-protestar/. Acesso em 22 ago 2017;Rua das Carmelitas 2340, Hauer, Curitiba ;-25,493668;-49,234509;Curitiba;Hauer
187;Segunda enchente em três meses faz moradores protestarem: “Pior do que tá não fica”;03/02/2013;;Água, esgoto e drenagem;2;Manifestação no Jardim Paloma;Manifestação em espaço público;Banda B;BANDA B. Segunda enchente em três meses faz moradores protestarem: “Pior do que tá não fica”. Banda B, Curitiba, 03 fev 2013. Disponível em http://www.bandab.com.br/jornalismo/geral/segunda-enchente-em-tres-meses-faz-moradores-protestarem-pior-do-que-ta-nao-fica/. Acesso em 22 ago 2017;Rua Cerro Azul 30, Paloma, Colombo;-25,356711;-49,155333;Colombo;Paloma
188;Chuva forte causou alagamentos em Curitiba e  Região Metropolitana;21/01/2010;;Água, esgoto e drenagem;2;Queima de Pneus na Avenida Juscelino Kubistchek de Oliveira;Fechamento de vias públicas;Banda B;"BANDA B. Chuva forte causou alagamentos em Curitiba e
Região Metropolitana. Banda B, Curitiba, 21 jan 2010. Disponível em http://www.bandab.com.br/jornalismo/chuva-forte-causou-alagamentos-em-curitiba-e-regiao-metropolitana/. Acesso em 22 ago 2017 ";Avenda Juscelino Kubistchek de Oliveira 9397, CIC, Curitiba;-25,508903;-49,339285;Curitiba;Cidade Industrial
190;Queima de pneus contra as enchentes que castigam Pinhais, São José dos Pinhais e Fazenda Rio Grande;23/01/2011;;Água, esgoto e drenagem;2;Bloqueio da Rua Humberto de Alencar Castelo Branco na esquina com a Rua Prudente de Morais;Fechamento de vias públicas;Gazeta do Povo;"GERON, Vítor; PRATEANO, Vanessa. Chuva provoca protesto e transtornos
em Curitiba. Gazeta do Povo, Curitiba, 24 jan 2011. Disponível emhttp://www.gazetadopovo.com.br/vidaecidadania/conteudo.phtml?id=1089682&tit=Chuva-provoca-protesto-e-transtornos-em-Curitiba. Acesso em 22 ago 2017 ";Rua Humberto de Alencar Castelo Branco 184, Jardim Amélia, Pinhais;-25,435641;-49,162297;Pinhais;Jardim Amélia
191;Alagamentos provocam protestos em ao menos três bairros em Curitiba;07/06/2014;;Água, esgoto e drenagem;2;Bloqueio da Rua das Carmelitas ;Fechamento de vias públicas;Gazeta do Povo;"KOMARCHESKI, Brunar; HORCEL, Luciane. Alagamentos provocam protestos em ao menos três bairros em Curitiba. Gazeta do Povo, Curitiba, 07 jun 2014. Disponível em http://www.gazetadopovo.com.br/vida-e-cidadania/alagamentos-provocam-protestos-em-ao-menos-tres-bairros-em-curitiba-99n0z5fqvdggymxshq…. Acesso em 22 ago 2017";Avenida Juscelino Kubistchek de Oliveira 11800;-25,531937;-49,323674;Curitiba;Cidade Industrial
192;Curitiba: 50 pessoas participaram de protesto contra enchentes na Vila Barigui;12/06/2014;50;Água, esgoto e drenagem;2;Bloqueio da rua João Bettega esq. com Rua Cid Campello;Fechamento de vias públicas;Gazeta do Povo;POMPEO, Carolina. Em protesto, moradores da Vila Barigüi exigem obras para evitar novas enchentes. Gazeta do Povo, Curitiba, 12 jun 2014. Disponível em http://www.gazetadopovo.com.br/vida-e-cidadania/em-protesto-moradores-da-vila-barigui-exigem-obras-para-evitar-novas-enchentes-9jorr2lekpzavwcbh8yryqw5q. Acesso em 22 ago 2017 ;Rua João Bettega 6115, Portão, Curitiba;-25,511574;-49,332322;Curitiba;Portão
193;Enchente gera protestos em Curitiba e Colombo;22/02/2006;;Água, esgoto e drenagem;2;Bloqueio da Avenida São Gabriel;Fechamento de vias públicas;Parana Online - Tribuna PR;TRIBUNA PR. Enchente gera protestos em Curitiba e Colombo. Tribuna, Curitiba, 22 jun 2006. Disponível em http://www.tribunapr.com.br/noticias/parana/enchente-gera-protestos-em-curitiba-e-colombo/. Acesso em 22 ago 2017 ;Avenida São Gabriel 69, Osasco, Colombo;-25,363786;-49,210739;Colombo;Osasco
194;Famílias perdem tudo com enchente e fecham Eduardo Sprada em protesto;22/10/2015;;Água, esgoto e drenagem;2;Bloqueio da Rua Eduardo Sprada esq. Rua José Baggio;Fechamento de vias públicas;Banda B;BANDA B. Famílias perdem tudo com enchente e fecham Eduardo Sprada em protesto. Banda B, Curitiba, 22 out 2015. Disponível em http://www.bandab.com.br/geral/familias-perdem-tudo-com-enchente-e-fecham-eduardo-sprada-em-protesto/. Acesso em 22 ago 2017 ;Rua Eduardo Sprada 1672. Campo Comprido, Curitiba;-25,449310;-49,326342;Curitiba;Campo Comprido
195;Moradores de Piraquara cobram apoio da prefeitura;21/03/2012;60;Moradia;11;Manifestação em frente à Prefeitura de Piraquara;Manifestação em espaço público;Brasil de Fato;KINTANISHI, Vítor. Moradores de Piraquara cobram apoio da prefeitura. Brasil de Fato, Curitiba, 21 mar 2013. Disponível em https://www.brasildefato.com.br/node/9112/. Acesso em 22 ago 2017 ;Avenida Getúlio Vargas 1990, Centro, Piraquara;-25,450788;-49,069503;Piraquara;Centro
196;Moradores de São José dos Pinhais não aguentam mais tantos alagamentos;28/12/2015;;Água, esgoto e drenagem;2;Manifestação no Jardim Izaura;Manifestação em espaço público;RIC TV;RIC TV. Moradores de São José dos Pinhais não aguentam mais tantos alagamentos. Curitiba, 28 dez 2015. Disponível em https://pr.ricmais.com.br/balanco-geral-curitiba/videos/moradores-de-sao-jose-dos-pinhais-nao-aguentam-mais-tantos-alagamentos/. Acesso em 25 ago 2017.;Rua Antenor dos Santos 205, Ipê, São José dos Pinhais;-25,472839;-49,148645;São José dos Pinhais;Ipê
197;Moradores do Caximba protestam contra enchentes no bairro;24/06/2013;;Moradia;11;Bloqueio da rua Francisca Beraldi Paolini;Fechamento de vias públicas;Parana Online - Tribuna PR;TRIBUNA PR. Moradores do Caximba protestam contra enchentes no bairro. Tribuna, Curitiba, 24 jun 2013. Disponível em http://www.tribunapr.com.br/noticias/curitiba-regiao/moradores-do-caximba-protestam-contra-enchentes-no-bairro/. Acesso em 22 ago 2017 ;Rua Francisca Beraldi Paolini 888, Campo de Santana, Curitiba;-25,615707;-49,357299;Curitiba;Campo de Santana
198;Moradores do Jardim Veneza fazem protesto por causa dos alagamentos;21/10/2016;;Água, esgoto e drenagem;2;Bloqueio da Rua Benjamin Palú ;Fechamento de vias públicas;MassaNews;"CARVALHO, Joyce. Moradores do Jardim Veneza fazem protesto por
causa dos alagamentos. MassaNews, Curitiba, 21 out 2016. Disponível em https://massanews.com/noticias/plantao/moradores-do-jardim-veneza-fazem-protesto-por-causa-dos-alagamentos-1Wgl5.html. Acesso em 22 ago 2017 ";Rua Benjamin Palú 198, Bom Jesus, São José dos Pinhais;-25,554886;-49,208886;São José dos Pinhais;Bom Jesus
199;Moradores do Tarumã vivem na precariedade;15/08/2013;300;Água, esgoto e drenagem;2;Protesto na Avenida Vítor Ferreira do Amaral, em frente ao Detran;Fechamento de vias públicas;Gazeta do Povo;"MAROS, Angielli; AUDI, Amanda. Protesto bloqueia Avenida Victor Ferreira do Amaral sentido Pinhais. Gazeta do Povo, Curitiba, 15 ago 2013. Disponível em http://www.gazetadopovo.com.br/vida-e-cidadania/protesto-bloqueia-avenida-victor-ferreira-do-amaral-sentido-pinhais-bexr2oggun8y41ab92yo420jy. Acesso em 22 ago 2017 ";Avenida Victor Ferreira do Amaral 2940, Capão da Imbuia, Curitiba ;-25,430470;-49,211197;Curitiba;Capão da Imbuia
200;Moradores de Fazenda Rio Grande bloqueiam avenida para protesto;24/01/2011;60;Água, esgoto e drenagem;2;Queima de pneus e bloqueio das Avenidas Paraguai, Estados Unidos e Polônia;Fechamento de vias públicas;Gazeta do Povo;"TRISOTTO, Fernanda; BUBNIAK, Taiana. Moradores de Fazenda Rio Grande bloqueiam avenida para protesto. Gazeta do Povo, Curitiba, 24 jan 2011. Disponível em www.gazetadopovo.com.br/vidaecidadania/conteudo.phtml?id=1089812&tit=Moradores-de-Fazenda-Rio-Grande-bloqueiam-avenida-para-protesto. Acesso em 22 ago 2017 ";Avenida Polônia 434, Nações, Fazenda Rio Grande;-25,660811;-49,297645;Fazenda Rio Grande;Nações
201;Moradores fecham rua no Xaxim em protesto contra alagamentos;30/01/2011;;Água, esgoto e drenagem;2;Bloqueio da Rua Omar Raymundo Picheth com queima de móveis;Fechamento de vias públicas;Gazeta do Povo;"ALMEIDA, Aniela; ANGELI, Gladson. Moradores fecham rua no Xaxim em protesto contra alagamentos. Gazeta do Povo, Curitiba, 30 jan 2011. Disponível em www.gazetadopovo.com.br/vidaecidadania/conteudo.phtml?id=1091743. Acesso em 22 ago 2017 ";Rua Omar Raymundo Picheth 1327, Xaxim, Curitiba;-25,513131;-49,272668;Curitiba;Xaxim
203;Erosão tira a paciência de moradores no Boa Vista;10/04/2013;;Rios;15;Denúncia para o Paraná Online;Denúncia pública via meio de comunicação de massa;Parana Online - Tribuna PR;MIRANDA, Cahuê. Erosão tira a paciência de moradores no Boa Vista. Paraná Online, Curitiba, 10 abr 2013. Disponível em www.parana-online.com.br/editoria/cidades/news/661666/?noticia=EROSAO+TIRA+A+PACIENCIA+DE+MORADORES+NO+BOA+VISTA. Acesso em 22 ago 2017 ;Rua dos Alfeneiros 70, Boa Vista, Curitiba;-25,384176;-49,248119;Curitiba;Boa Vista
204;Alagamentos são tema de protesto na Caximba;22/06/2013;;Água, esgoto e drenagem;2;Fechamento da ponte sobre o rio Barigui na Rua Francisca Beraldi Paolini;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;ROCHA, Gabriel. Alagamentos são tema de protesto. O Popular, Curitiba, 28 jun 2013. Disponível em http://www.opopularpr.com.br/noticia_imprimir.php?id=11894 1/. Acesso em 22 ago 2017 ;Rua Francisca Beraldi Paolini 888, Campo de Santana, Curitiba;-25,615704;-49,357217;Curitiba;Campo de Santana
205;Catadores de papel protestam contra lixo orgânico;10/05/2012;;Lixo e resíduos;10;Bloqueio da Avenida Pastor Adolfo Weidmann;Fechamento de vias públicas;Parana Online - Tribuna PR;SANTANA, Eduardo. Catadores de papel protestam contra lixo orgânico. Tribuna, Curitiba, 10 mai 2012. Disponível em http://www.tribunapr.com.br/noticias/parana/catadores-de-papel-protestam-contra-lixo-organico/. Acesso em 22 ago 2017 ;Avenida Pastor Adolfo Weidmann 3294, Guarituba, Piraquara;-25,458528;-49,159924;Piraquara;Guarituba
206;Moradores fazem limpeza de jardim e da rua em frente ao Pilar Maturana;21/01/2014;2;Parques, jardins e florestas;13;Mutirão de limpeza;Outros;Jornal do Bairro Alto;JORNAL DO BAIRRO ALTO. Moradores fazem limpeza de jardim e da rua em frente ao Pilar Maturana. Jornal do Bairro Alto, Curitiba, 21 jan 2014. Disponível em http://www.jornaldobairroalto.com.br/index.php/2012-06-15-14-34-50/569-moradores-fazem-limpeza-de-jardim-e-da-rua-em-frente-ao-pilar-maturana. Acesso em 22 ago 2017 ; Rua Rio Guaporé 1673, Bairro Alto, Curitiba;-25,397892;-49,196335;Curitiba;Bairro Alto
207;Centenas de manifestantes protestam contra novo Código Florestal;28/04/2011;;Parques, jardins e florestas;13;Passeata da Praça Santos Andrade até a Praça Osório;Passeata;Gazeta do Povo;GERON, Vítor. Centenas de manifestantes protestam contra novo Código Florestal. Gazeta do Povo, Curitiba, 28 abr 2011. Disponível em http://www.gazetadopovo.com.br/vida-publica/centenas-de-manifestantes-protestam-contra-novo-codigo-florestal-4dxbc74oi1oe6hptomgs7tnim. Acesso em 25 ago 2017.;Rua Xv de Novembro 151, Centro, Curitiba;-25,431575;-49,272715;Curitiba;Centro
209;“Nosso parque virou depósito de lixo”, desabafa moradora de bairro deixado de lado em ‘cartão postal;18/04/2017;;Parques, jardins e florestas;13;Denúncia à Banda B;Denúncia pública via meio de comunicação de massa;Banda B;"BARROS, Flávia; SEQUINEL, Marina. “Nosso parque virou depósito de lixo”, desabafa moradora de bairro deixado de lado em ‘cartão postal’. Banda B, Curitiba, 18 abr 2017. Disponível em http://www.bandab.com.br/geral/nosso-parque-virou-deposito-de-lixo-desabafa-moradora-de-bairro-deixado-de-lado-em-cartao-postal/. Acesso em 26 ago 2017 ";Rua Carlos Klemtz 1985, Fazendinha, Curitiba;-25,477905;-49,328418;Curitiba;Fazendinha
210;População reclama da falta de manutenção no Parque Tingui em Curitiba;25/02/2016;;Parques, jardins e florestas;13;Denúncia à RIC TV;Denúncia pública via meio de comunicação de massa;RIC TV;RIC TV. População reclama da falta de manutenção no Parque Tingui em Curitiba. Curitiba, 25 fev 2016. Disponível emhttps://pr.ricmais.com.br/balanco-geral-curitiba/videos/populacao-reclama-da-falta-de-manutencao-no-parque-tingui-em-curitiba/. Acesso em 26 ago 2017;Rua Melchiades Silveira do Valle 1234, São João, Curitiba;-25,387825;-49,304914;Curitiba;São João
211;Lago “disfarçado” de gramado coloca em risco frequentadores do Parque Tingui;01/11/2016;;Parques, jardins e florestas;13;Denúncia à Banda B;Denúncia pública via meio de comunicação de massa;Banda B;JUBANSKI, Elisangela. Lago “disfarçado” de gramado coloca em risco frequentadores do Parque Tingui. Banda B, Curitiba, 01 nov 2016. Disponível em http://www.bandab.com.br/geral/armadilha-do-lago-deixa-frequentadores-do-parque-tingui-com-medo/. Acesso em 26 ago 2017 ;Rua Melchiades Silveira do Valle 1234, São João, Curitiba;-25,387885;-49,304945;Curitiba;São João
212;Horta Urbana no Cristo Rei em disputa;08/07/2017;;Parques, jardins e florestas;13;Exibição de documentário no dia 08/07 / Mutirão de Plantio e de mosaicos;Manifestação em espaço público;Brasil de Fato;OBSERVATÓRIO DE CONFLITOS URBANOS DE CURITIBA. Coluna | Observatório dos conflitos urbanos de Curitiba em julho. Brasil de Fato, Curitiba, 14 ago 2017. Disponível em https://www.brasildefato.com.br/2017/08/14/coluna-or-observatorio-dos-conflitos-urbanos-de-curitiba-em-julho/. Acesso em 26 ago 2017;Rua Roberto Cichon 183, Cristo Rei, Curitiba;-25,437945;-49,234633;Curitiba;Cristo Rei
213;Protesto pela Plantação de Bananeira do Juvevê;09/07/2017;30;Parques, jardins e florestas;13;Abraço coletivo às bananeiras do Juvevê;Manifestação em espaço público;Banda B;OLIVEIRA, Luiz Henrique.Depois de ‘Prefs’ enaltecer bananeiras no Juvevê, nova gestão multa e revolta moradores. Banda B, Curitiba, 09 fev 2017. Disponível em http://www.bandab.com.br/jornalismo/depois-de-prefs-enaltecer-bananeira-no-juveve-nova-gestao-multa-pede-retirada-e-revolta-moradores/. Acesso em 26 ago 2017 ;Rua Conselheiro Carrão 1318, Juvevê, Curitiba;-25,421462;-49,244978;Curitiba;Juvevê
214;Lago poluído no Parque São Lourenço ;16/11/2015;;Água, esgoto e drenagem;2;Denúncia para a Tribuna;Denúncia pública via meio de comunicação de massa;Parana Online - Tribuna PR;WEIDLICH, Paula. Lago poluído. Tribuna, Curitiba, 16 nov 2015. Disponível em http://www.tribunapr.com.br/cacadores-de-noticias/sao-lourenco/lago-poluido/. Acesso em 26 ago 2017;Rua Mateus Leme 478, São Francisco, Curitiba;-25,423477;-49,271043;Curitiba;São Francisco
215;Morte de peixes no Parque Tingui intriga frequentadores;08/07/2016;;Parques, jardins e florestas;13;Denúncia feita à Banda B;Denúncia pública via meio de comunicação de massa;Banda B;"OLIVEIRA, Luiz Henrique. Morte de peixes no Parque Tingui intriga frequentadores; prefeitura explica
. Banda B, Curitiba, 14 fev 2017. Disponível em http://www.bandab.com.br/blog/geral/morte-de-peixes-no-parque-tingui-intriga-moradores-prefeitura-explica/. Acesso em 26 ago 2017 ";Rua Melchiades Silveira do Valle 1234, São João, Curitiba;-25,387837;-49,304872;Curitiba;São João
216;Bolo e protesto no Bosque da Casa Gomm;29/03/2014;50;Parques, jardins e florestas;13;Manifestação, com show e programações culturais no bosque;Manifestação em Espaço Privado;Gazeta do Povo;SIMAS, Anna. Bolo e protesto no Bosque da Casa Gomm. Gazeta do Povo, Curitiba, 29 mar 2014. Disponível em http://www.gazetadopovo.com.br/vida-e-cidadania/bolo-e-protesto-no-bosque-da-casa-gomm-25679uioerr7nw591sl5iv2a6. Acesso em 26 ago 2017.;Rua Hermes Fontes 204, Batel, Curitiba;-25,442506;-49,291621;Curitiba;Batel
217;Liminar proíbe intervenção em bosque da Casa Gomm;01/07/2013;;Parques, jardins e florestas;13;Ação Civil Pública ;Judicial;Gazeta do Povo;MARCHIORI, Raphael. Liminar proíbe intervenção em bosque da Casa Gomm. Gazeta do Povo, Curitiba, 01 jul 2013. Disponível em http://www.gazetadopovo.com.br/vida-e-cidadania/liminar-proibe-intervencao-em-bosque-da-casa-gomm-2568x4uozlsi46x3o5e2qfpzi. Acesso em 26 ago 2017.;Rua Hermes Fontes 204, Batel, Curitiba;-25,442340;-49,291753;Curitiba;Batel
218;Magistério faz greve de 15 dias em Curitiba;15/03/2017;;Trabalho e Direitos Trabalhistas;18;Greve;Paralisação e greve;Banda B;"RIBEIRO, Felipe. Professores estaduais e municipais seguem em greve nesta quinta; mais de 65% das escolas foram afetadas no 1º dia. Banda B. Curitiba. 15 mar. 2017. Disponível em: <http://www.bandab.com.br/geral/professores-estaduais-e-municipais-seguem-em-greve-nesta-quinta-mais-de-65-das-escolas-ja-foram-afetadas/>. Acesso em: 26 ago. 2017.";Paraná Clube - Av. Pres. Kenedy, 2377 - Água Verde - Curitiba;-25,465717;-49,278787;Curitiba;Água Verde
220;População exige asfalto “decente” no Itaipu;16/06/2010;;Transporte, trânsito e circulação;19;Queima de pneus;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;"AMARAL, Victor. População exige asfalto ""decente"" no Itaipu. O Popular. Araucária, p. 01-02. 16 jun. 2010.";Av. das Cerejeiras - Capela Velha Araucária - PR;-25,559672;-49,391729;Araucária;Capela Velha
221;Moradores fazem protesto e fecham Contorno Sul em Curitiba;09/05/2011;;Transporte, trânsito e circulação;19;Trancaço;Fechamento de vias públicas;Gazeta do Povo;GAZETA DO POVO. Moradores fazem protesto e fecham Contorno Sul em Curitiba. Curitiba, 09 maio 2011. Disponível em <http://www.gazetadopovo.com.br/vida-e-cidadania/moradores-fazem-protesto-e-fecham-contorno-sul-em-curitiba-556qeowe33ey71ggw6cx9yz4e>. Acesso em 07/03/2013.;Rua Setembrino Portella Neto, 58 - Cidade Industrial Curitiba - PR;-25,497921;-49,343069;Curitiba;Cidade Industrial
222;Em data especial, manifestantes fazem protesto contra violência no trânsito;10/12/2011;;Transporte, trânsito e circulação;19;Manifestação;Manifestação em espaço público;Banda B;"BANDA B. Em data especial, manifestantes fazem protesto contra violência no trânsito. Disponível em <http://www.bandab.com.br/geral/em-data-especial-manifestantes-fazem-protesto-contra-violencia-no-transito/>. Acesso em 2 de maio de 2014.
";R. Nicola Pellanda, 1920 - Pinheirinho Curitiba - PR;-25,545867;-49,293849;Curitiba;Umbará
223;Moradores da Estrada da Graciosa fazem protesto contra violência no trânsito;11/01/2011;;Transporte, trânsito e circulação;19;Manifestação com queima de pneus;Manifestação em espaço público;Banda B;"BANDA B. Moradores da Estrada da Graciosa fazem protesto
contra violência no trânsito, Curitiba, 11 jan. 2011. Disponível em: <http://www.bandab.com.br/jornalismo/moradores-da-estrada-da-graciosa-fazem-protesto-contra-violencia-no-transito/>. Acesso em: 02 maio 2014. ";R. Estr. da Graciosa, 742 - Atuba;-25,390588;-49,199365;Pinhais;Atuba
224;Moradores bloqueiam cruzamento movimentado no Boqueirão clamando por mais segurança;17/09/2011;;Transporte, trânsito e circulação;19;fecharam o cruzamento das ruas Anne Frank e José Hauer;Fechamento de vias públicas;Banda B;"BANDA B. Moradores bloqueiam cruzamento movimentado no
Boqueirão clamando por mais segurança. Portal Banda B, Curitiba, 17 set. 2011. Paraná. Disponível em: <http://www.bandab.com.br /j or nal i smo/mor ador es- bl oquei am- cr uzamento- movi mentado- no- boquei r ao- cl amando- por - mai s- segur anca/ >. Acesso em: 02 março de 2014. ";R. José Hauer, 2069 - Uberaba;-25,506235;-49,233884;Curitiba;Uberaba
225;Cansados de acidentes, comerciantes fecham avenida em protesto por semáforos;19/08/2011;;Transporte, trânsito e circulação;19;Manifestação na Avenida em frente ao terminal do bairro Cachoeira;Fechamento de vias públicas;Banda B;"BANDA B. Cansados de acidentes, comerciantes fecham
avenida em protesto por semáforos. Banda B, Curitiba, 19 de agosto 2011. Disponível em: <http://www.bandab.com.br/jornalismo/cansados-de-acidentes-comerciantes-fecham-avenida-em-protesto-por-semaforos/>. Acesso em: 02/05/2014. 

";Av. Francisco Kruger, 5356 - Vila Formosa, Alm. Tamandaré - PR;-25,338748;-49,271095;Almirante Tamandaré;Cachoeira
226;Cansado de promessas, povo vai pra rua pedir asfalto;20/06/2011;;Transporte, trânsito e circulação;19;Ato em via pública;Manifestação em espaço público;O Popular - Jornal de Araucária e Região; O PUPULAR: Cansado de promessas, povo vai pra rua pedir asfalto. Araucária-pr, 20 jun. 2011. Disponível em: <http://www.opopularpr.com.br/noticia_imprimir.php?id=6613>. Acesso em: 01 maio 2014.;R. Targino Silva Araucária, 1171 - PR;-25,588111;-49,426810;Araucária;Boqueirão
229;Moradores fecham Rodovia da Uva em protesto contra falta de integração em terminal;25/05/2011;;Transporte, trânsito e circulação;19;Moradores fecham Rodovia da Uva;Fechamento de vias públicas;Banda B;BANDA B: Moradores fecham Rodovia da Uva em protesto contra falta de integração em terminal. Curitiba, Pr, 25 maio 2011. Disponível em: <http://www.bandab.com.br/jornalismo/moradores-fecham-rodovia-da-uva-em-protesto-contra-falta-de-integracao-em-terminal/>. Acesso em: 02 maio 2014.;Rod. da Uva, 2070 - Roça Grande, Colombo - PR;-25,346346;-49,220133;Colombo;Roça Grande
230;Após protesto em frente à Câmara, moradores conseguem liberação de obras;25/07/2011;;Transporte, trânsito e circulação;19;Protesto em frente à Câmara;Manifestação em espaço público;Banda B;BANDA B: Após protesto em frente à Câmara, moradores conseguem liberação de obras. Curitiba, Pr, 25 jul. 2011. Disponível em: <http://www.bandab.com.br/jornalismo/geral/apos-protesto-em-frente-a-camara-moradores-conseguem-liberacao-de-obras/>. Acesso em: 02 maio 2014.;R. João Cândido, 182 - Jardim da Colina;-25,305801;-49,054035;Campina Grande do Sul;Jardim da Colina
231;Alunos e professores fazem protesto contra motoristas que não respeitam pedestres;25/08/2011;;Transporte, trânsito e circulação;19;Manifestação com percurso;Manifestação em espaço público;Banda B;BANDA B: Alunos e professores fazem protesto contra motoristas que não respeitam pedestres. Curitiba, Pr, 25 jul. 2011. Disponível em: <http://www.bandab.com.br/jornalismo/alunos-e-professores-fazem-protesto-contra-motoristas-que-nao-respeitam-pedestres/>. Acesso em: 02 maio 2014.;Rua Ignácio Gbur, 118 - Pilarzinho;-25,397075;-49,289128;Curitiba;Pilarzinho
